Quality;Description;n
5.4974905022296925;"[""weducation != 'moderate-high'"", 'good_media_exposure == False']";91
5.0267649304064435;"[""hocc != 'two'"", 'wwork == False']";794
4.7634904458287455;['wage <= 32.0'];780
4.652221037642486;['wage > 32.0', 'wwork == True'];181
4.445145537683895;"[""sol == 'high'"", 'good_media_exposure == True']";666
4.351667344453654;"[""weducation == 'moderate-high'""]";410
4.246424912816994;"[""sol != 'moderate-high'"", 'wwork == False']";771
3.9050445765817052;"[""sol == 'high'"", 'good_media_exposure == False']";18
3.6191628095361015;"[""sol == 'moderate-high'"", 'wwork == True']";98
3.429439560864847;['wage > 32.0', 'good_media_exposure == False'];71
3.326247589055628;"[""hocc != 'two'"", 'wwork == True']";254
3.285115824978491;['numborn <= 2.0'];649
3.168250586282145;['numborn <= 3.0', 'good_media_exposure == False'];48
3.024984974888345;"[""sol == 'moderate-high'"", 'good_media_exposure == False']";22
2.9758088380274996;"[""hocc == 'four'""]";27
2.7956597970728954;"[""hocc == 'three'""]";585
2.5242405642274766;"[""hocc != 'two'"", 'good_media_exposure == False']";73
2.5227700669492075;"[""sol != 'high'"", 'good_media_exposure == False']";91
2.351146027681843;['wage > 28.0', 'good_media_exposure == False'];83
2.096350464463218;"[""hocc == 'one'""]";436
2.0365853367916773;['wage > 25.0', 'good_media_exposure == False'];91
1.977508697678426;['wage > 26.0', 'good_media_exposure == False'];90
1.8516358387544232;"[""weducation != 'high'"", 'wwork == True']";199
1.8218724410662803;['wage <= 28.0'];547
1.7051821519888444;['wwork == False', 'good_media_exposure == False'];82
1.6820111779455391;"[""sol != 'low'"", 'good_media_exposure == False']";80
1.6419983595409566;"[""heducation != 'high'""]";574
1.5215593715348668;"[""heducation != 'moderate-high'"", 'good_media_exposure == False']";82
1.509887320246919;"[""hocc != 'four'"", 'good_media_exposure == False']";103
1.4403913101404746;"[""heducation == 'low'""]";44
1.3731381630752326;"[""heducation != 'low-moderate'"", 'good_media_exposure == False']";67
1.2519301377480263;"[""weducation != 'low-moderate'"", 'good_media_exposure == False']";81
1.2185752073293719;['good_media_exposure == False'];109
1.1959005160856597;['wage <= 26.0'];425
1.122647956172086;['numborn > 3.0', 'good_media_exposure == False'];61
1.1086714730945815;"[""heducation == 'low-moderate'""]";178
1.0912726677142932;"[""weducation == 'high'""]";577
1.0742669992614629;"[""weducation == 'low-moderate'""]";334
1.041519572048057;"[""sol != 'low-moderate'"", 'good_media_exposure == False']";69
1.0384153022465892;"[""hocc == 'two'"", 'good_media_exposure == False']";36
1.0115828520815584;"[""heducation != 'low'"", 'good_media_exposure == False']";95
1.0035688899233106;"[""heducation == 'moderate-high'""]";352
0.966952827285311;['numborn > 1.0', 'good_media_exposure == False'];94
0.9316363132898315;"[""sol == 'low-moderate'""]";229
0.9244325080987643;"[""sol == 'high'"", 'wwork == False']";490
0.8405938085729718;"[""hocc != 'three'"", 'good_media_exposure == False']";55
0.8396206129063439;"[""sol == 'low'""]";129
0.8284109038823396;"[""sol != 'moderate-high'"", 'good_media_exposure == False']";87
0.828301000695032;"[""weducation != 'low'"", 'good_media_exposure == False']";52
0.6857395392278307;"[""hocc != 'one'"", 'good_media_exposure == False']";96
0.5914410998522646;['wwork == True', 'good_media_exposure == False'];27
0.5888801432039654;['numborn > 2.0', 'good_media_exposure == False'];79
0.5117911516070193;"[""heducation == 'high'"", 'good_media_exposure == False']";26
0.5069105339281204;['wage <= 25.0'];356
0.41221905137926396;"[""weducation == 'low'""]";152
0.3304275713236595;['numborn <= 1.0'];373
0.3202988594566179;"[""weducation != 'high'"", 'good_media_exposure == False']";103
0.26641400656626135;"[""sol != 'high'"", 'wwork == True']";175
