Quality;Description;n
0.9244325080987643;"[""sol == 'high'"", 'wwork == False']";490
0.8397254659957285;"[""hocc == 'one'"", 'wwork == False']";325
0.8396206129063439;"[""sol == 'low'""]";129
0.6857395392278307;"[""hocc != 'one'"", 'good_media_exposure == False']";96
0.5069105339281204;['wage <= 25.0'];356
0.4828717020256722;"[""heducation != 'high'"", 'good_media_exposure == False']";83
0.41221905137926396;"[""weducation == 'low'""]";152
0.3304275713236595;['numborn <= 1.0'];373
0.3202988594566179;"[""weducation != 'high'"", 'good_media_exposure == False']";103
0.0;['numborn <= 2.0', 'good_media_exposure == False'];30
