Quality;Description;n
35.6155027188786;"[""hocc == 'three'""]";585
35.46642915023266;['wage <= 32.0', 'wismuslim == True'];704
35.223265162254975;"[""heducation != 'low-moderate'"", 'wwork == True']";328
34.786479051735846;"[""heducation == 'moderate-high'"", 'wismuslim == True']";325
31.024695295769316;"[""heducation == 'moderate-high'"", 'good_media_exposure == True']";325
30.85537900477658;['numborn <= 2.0', 'good_media_exposure == True'];619
30.294446265961604;"[""heducation == 'moderate-high'"", 'wwork == False']";265
30.028169286226724;"[""sol != 'low-moderate'"", 'wwork == True']";312
29.59002275013394;"[""heducation != 'moderate-high'"", 'wwork == True']";282
29.25564747877277;"[""heducation != 'high'"", 'good_media_exposure == True']";491
28.987955526776705;['numborn <= 1.0', 'wwork == False'];258
28.631171518161743;['numborn <= 1.0', 'wismuslim == True'];317
27.812104365248537;"[""hocc != 'three'"", 'wwork == True']";237
27.096005053080006;['numborn <= 1.0', 'good_media_exposure == True'];358
26.558294639648967;['numborn <= 1.0'];373
26.24922647533481;['wage <= 28.0', 'good_media_exposure == True'];521
26.039349453815515;"[""hocc == 'three'"", 'wwork == False']";453
25.503877552243495;['wage <= 28.0'];547
25.0849117543093;"[""hocc == 'three'"", 'good_media_exposure == True']";531
24.795043657685127;['wage <= 28.0', 'wismuslim == True'];503
24.7152657437346;['numborn <= 2.0', 'wwork == False'];462
24.24156867491016;['numborn <= 3.0', 'wwork == True'];249
23.60523154058618;['wage <= 25.0'];356
23.09776142043723;['wage <= 28.0', 'wwork == False'];437
22.16285424309289;"[""heducation == 'high'"", 'wwork == True']";227
21.649650858153834;['wage <= 26.0'];425
21.43454221743829;"[""sol == 'high'"", 'wwork == True']";194
20.2869774006916;"[""hocc == 'one'""]";436
18.13251639651025;['numborn <= 2.0', 'wwork == True'];187
15.631894671213068;"[""sol == 'low-moderate'""]";229
14.943686702404563;['numborn > 3.0', 'good_media_exposure == False'];61
14.015425850247109;['numborn > 2.0', 'good_media_exposure == False'];79
13.998974509912914;['numborn > 3.0', 'wismuslim == False'];68
13.52925354364857;['wage > 26.0', 'good_media_exposure == False'];90
13.27833553757743;['numborn > 1.0', 'good_media_exposure == False'];94
13.244858581057382;['wage > 25.0', 'good_media_exposure == False'];91
13.200964434140053;"[""sol != 'low'"", 'good_media_exposure == False']";80
12.973602016534219;['numborn > 2.0', 'wismuslim == False'];123
12.829788158197955;"[""sol == 'low'""]";129
12.205586492893886;['numborn > 1.0', 'wismuslim == False'];164
12.1270605873223;"[""hocc != 'two'"", 'good_media_exposure == False']";73
11.946778611684591;"[""hocc != 'four'"", 'good_media_exposure == False']";103
11.929837611542457;"[""heducation != 'high'"", 'wwork == True']";142
11.905256214896559;"[""heducation != 'moderate-high'"", 'good_media_exposure == False']";82
11.25877675880333;['wage > 32.0', 'good_media_exposure == False'];71
10.835888365291883;"[""heducation == 'moderate-high'"", 'wwork == True']";87
10.793468917397565;"[""heducation != 'low-moderate'"", 'good_media_exposure == False']";67
10.676789148263115;['wage > 28.0', 'wismuslim == False'];176
10.400321839016355;"[""hocc != 'three'"", 'wismuslim == False']";160
10.391805203189241;['wage > 32.0', 'wismuslim == False'];144
10.313636953857396;"[""sol != 'high'"", 'good_media_exposure == False']";91
10.263999694568769;['good_media_exposure == False'];109
9.571839235822704;"[""heducation != 'low'"", 'good_media_exposure == False']";95
8.990234195165279;"[""heducation == 'low-moderate'""]";178
8.766152510234948;"[""heducation == 'low'""]";44
8.617067838830069;['wage > 25.0', 'wismuslim == False'];201
8.61471487041948;"[""sol != 'low-moderate'"", 'good_media_exposure == False']";69
